username,prob_name,prob_category,code,prob_grade_level,prob_timestamp,correct,practice,mastery,mastery_timestamp,quiz_name,quiz_category,quiz_grade_level,num_total,num_correct,percent_correct,probs_before_mastery,time_to_mastery,quiz_timestamp,probs_befpre_mastery
AyaA2,AP,AP,ap_ra,4,2024-10-09 09:31:36,0,0,0,,AP,AP,4,1,0,0.0,309,0 days 00:00:00,2024-10-09 09:30:16,309
AyaA2,AP,AP,ap_rp,4,2024-10-09 09:35:21,1,0,0,,AP,AP,4,1,1,1.0,313,0 days 00:00:00,2024-10-09 09:30:16,313
AyaA2,AP,AP,ap_ra,4,2024-10-09 09:36:39,1,0,0,,AP,AP,4,6,3,0.5,315,0 days 00:00:00,2024-10-09 09:35:31,315
AyaA2,AP,AP,ap_rp,4,2024-10-09 09:39:09,1,0,0,,AP,AP,4,6,3,0.5,317,0 days 00:00:00,2024-10-09 09:35:31,317
AyaA2,AP,AP,ap_rs,4,2024-10-09 09:40:47,1,0,0,,AP,AP,4,6,3,0.5,318,0 days 00:00:00,2024-10-09 09:35:31,318
AyaA2,AP,AP,ap_2rs,4,2024-10-09 09:46:59,0,0,0,,AP,AP,4,6,3,0.5,325,0 days 00:00:00,2024-10-09 09:35:31,325
AyaA2,AP,AP,ap_ra,4,2024-10-15 10:23:50,1,0,0,,AP,AP,4,1,1,1.0,433,0 days 00:00:00,2024-10-15 10:21:48,433
AyaA2,AP,AP,ap_rp,4,2024-10-15 10:26:15,1,0,0,,AP,AP,4,1,1,1.0,433,0 days 00:00:00,2024-10-15 10:21:48,433
AyaA2,AP,AP,ap_rs,4,2024-10-15 10:26:44,0,0,0,,AP,AP,4,1,0,0.0,433,0 days 00:00:00,2024-10-15 10:21:48,433
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:57:55,1,1,0,,AP,AP,4,1,1,1.0,139,0 days 00:00:00,,139
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:58:07,1,1,0,,AP,AP,4,1,1,1.0,139,0 days 00:00:00,,139
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:58:36,1,1,0,,AP,AP,4,1,1,1.0,139,0 days 00:00:00,,139
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:59:13,1,1,0,,AP,AP,4,1,1,1.0,139,0 days 00:00:00,,139
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:59:20,1,1,0,,AP,AP,4,1,1,1.0,139,0 days 00:00:00,,139
